MonitoringLocationIdentifier,lat,lon
21OHIO_WQX-K01P03,41.2286,-82.6431
21OHIO_WQX-302954,38.788066,-83.602033
21OHIO_WQX-303625,40.4108,-81.0486
21OHIO_WQX-W02S03,38.8744,-82.5767
21OHIO_WQX-303617,40.4803,-81.0947
21OHIO_WQX-W03W44,39.2672,-82.4025
21OHIO_WQX-500820,41.3078,-83.1589
21OHIO_WQX-303654,40.5434,-81.3608
21OHIO_WQX-303548,38.632695,-82.530994
21OHIO_WQX-300516,41.1409,-81.43527
21OHIO_WQX-611790,40.2611,-81.6097
21OHIO_WQX-301339,38.628392,-83.66786
21OHIO_WQX-300020,41.5,-84.4301
21OHIO_WQX-W03P18,39.0842,-82.3911
21OHIO_WQX-R08W03,40.5583,-81.0986
21OHIO_WQX-H09W02,39.74,-84.1933
21OHIO_WQX-303579,40.5139,-81.2748
21OHIO_WQX-610090,39.4293,-84.4764
21OHIO_WQX-W03P53,39.1732,-82.5338
21OHIO_WQX-U03S02,41.0222,-83.1097
21OHIO_WQX-P11W25,41.428838,-83.830767
21OHIO_WQX-203956,39.058196,-82.306958
21OHIO_WQX-K01W19,41.1769,-82.6531
21OHIO_WQX-200746,38.4847,-82.455
21OHIO_WQX-303747,40.958139,-80.593306
21OHIO_WQX-W03S11,39.1564,-82.5089
21OHIO_WQX-303689,39.312566,-82.360799
21OHIO_WQX-601300,39.7008,-83.1097
21OHIO_WQX-303650,38.591664,-82.379888
21OHIO_WQX-W03W52,39.109482,-82.388644
21OHIO_WQX-602280,41.2392,-80.8808
21OHIO_WQX-H09S31,39.5631,-84.305
21OHIO_WQX-W03P05,38.9761,-82.3383
21OHIO_WQX-303637,38.832925,-82.49786
21OHIO_WQX-303595,38.70765,-83.52009
21OHIO_WQX-301468,40.987931,-80.615975
21OHIO_WQX-303547,38.614549,-82.495453
21OHIO_WQX-W03W51,39.2203,-82.2708
21OHIO_WQX-X99Q02,38.648128,-83.273903
21OHIO_WQX-303636,38.9116,-82.6144
21OHIO_WQX-302839,41.214,-83.293983
21OHIO_WQX-300049,39.329,-83.4741
21OHIO_WQX-601290,40.1103,-83.0319
21OHIO_WQX-303768,38.453351,-82.439055
21OHIO_WQX-R08K05,40.4033,-81.1008
21OHIO_WQX-X99Q01,38.64162,-83.685444
21OHIO_WQX-R08P01,40.5625,-81.0872
21OHIO_WQX-K01W15,41.1275,-82.7681
21OHIO_WQX-X03W13,38.6578,-83.7436
21OHIO_WQX-X04P01,38.637575,-83.224548
21OHIO_WQX-303501,38.841407,-82.516048
21OHIO_WQX-W03W47,39.1411,-82.3803
21OHIO_WQX-303602,38.66009,-83.129213
21OHIO_WQX-X03S03,38.7803,-83.6136
21OHIO_WQX-500480,40.973,-83.9767
21OHIO_WQX-R04W27,40.2839,-81.8706
21OHIO_WQX-F01W37,41.1458,-81.3972
21OHIO_WQX-R08S13,40.4083,-81.0436
21OHIO_WQX-P06S35,41.0917,-84.6933
21OHIO_WQX-303607,38.77733,-83.580486
21OHIO_WQX-303610,38.74942,-83.220097
21OHIO_WQX-W03P33,39.309068,-82.264054
21OHIO_WQX-303644,40.573,-81.1219
21OHIO_WQX-P11P13,41.5269,-83.7811
21OHIO_WQX-303541,40.3964,-81.0895
21OHIO_WQX-203953,38.9047,-82.3369
21OHIO_WQX-303616,40.4783,-81.067
21OHIO_WQX-501050,41.3067,-82.6058
21OHIO_WQX-300151,38.5962,-82.4951
21OHIO_WQX-601930,40.7522,-81.5292
21OHIO_WQX-303740,41.4391,-83.7986
21OHIO_WQX-U04G18,41.1017,-83.0539
21OHIO_WQX-W03W36,39.4197,-82.4692
21OHIO_WQX-W03P45,39.1567,-82.5122
21OHIO_WQX-502160,41.1353,-81.5475
21OHIO_WQX-X04P02,38.6961,-83.1
21OHIO_WQX-R08K03,40.4597,-81.2108
21OHIO_WQX-303473,41.064,-82.654
21OHIO_WQX-510220,41.3856,-84.8017
21OHIO_WQX-W03K21,38.735,-82.2483
21OHIO_WQX-R08S01,40.4178,-81.1464
21OHIO_WQX-W03P31,39.16147,-82.35233
21OHIO_WQX-W03G50,39.2308,-82.286
21OHIO_WQX-303639,40.5526,-81.0763
21OHIO_WQX-303662,38.633277,-82.289828
21OHIO_WQX-302398,39.475449,-81.476424
21OHIO_WQX-V10S30,39.3794,-83.3756
21OHIO_WQX-K01P08,41.2244,-82.7039
21OHIO_WQX-K01W34,41.2769,-82.5922
21OHIO_WQX-200754,38.8181,-82.4647
21OHIO_WQX-501070,41.2756,-82.6369
21OHIO_WQX-601770,40.0592,-82.3397
